lat,long,mag
19.39066696,-155.2731628,2.07
40.2223333,-121.155,2.24
19.10549927,-155.4101715,2.02999997
40.2258333,-121.1585,2.2
34.4366667,-119.1421667,2.16
19.40433311,-155.2881622,1.83000004
34.4326667,-119.1418333,1.8
33.1963333,-116.0346667,1.61
19.0081,-67.7791,3.74
38.8218346,-122.7718353,1.01
38.8193333,-122.7635,0.43
38.8363342,-122.8171692,0.76
37.1422,-116.6109,0.7
38.8221667,-122.7648333,1
38.8166656,-122.7633362,1.07
38.8231667,-122.7636667,0.39
40.592,-111.5845,0.9
49.368,-120.5031667,1.7
38.8218333,-122.7653333,3.02
40.6008333,-111.5845,0.28
40.605,-111.5851667,0.43
38.8158333,-122.8175,0.42
52.7881,-168.2565,2.6
53.3176,-169.7105,5.4
40.2326667,-121.1515,2.47
19.26116753,-155.3820038,2.19
33.6768333,-116.6901667,0.43
38.8154984,-122.8190002,1.07
5.8828,125.3503,4.8
44.43683333,-114.1211667,1.12
55.4738,-134.6562,3.9
-1.5056,-80.4691,4.5
44.7695,-110.9688333,0.6
60.1278,-150.8125,2.1
44.7601667,-110.9681667,2.58
34.4118333,-118.4036667,1.11
38.8170013,-122.8253326,0.84
33.5093333,-116.506,0.5
19.23800087,-155.402832,1.72000003
18.0375,-66.9278,3.57
19.40166664,-155.2811737,2.00999999
18.1805,-66.07983333,2.22
26.5708,142.3763,4.6
60.5753,-152.8832,0.1
40.5168,22.2928,2.6
33.4506667,-116.5763333,0.62
38.9035,-123.6228333,1.81
43.55333333,-110.5295,1.18
38.791832,-122.7591629,1.1
33.9868333,-120.2468333,2.16
38.9005,-123.6155,1.67
34.65566667,-96.14,1.52
39.4191,-119.5486,2.1
46.9005,-112.5315,0.73
38.1771,-117.7928,1.5
60.2852,-151.1852,1.4
17.93133333,-66.96666667,2.03
35.2476667,-118.6005,1.25
36.0071667,-120.5683333,0.62
35.687,-117.5365,1.06
18.91716667,-67.67016667,3.33
19.24083328,-155.4015045,1.86000001
61.5548,-151.8256,0.9
38.8223343,-122.8040009,0.35
33.4988333,-116.9033333,0.54
35.755,-120.3235,0.87
10.1173,126.0508,5.2
19.40950012,-155.2644958,1.82000005
40.2136667,-121.1598333,2.48
34.2413,45.503,4.5
36.8336667,-121.5738333,1.97
58.2596,-155.6921,1.3
38.8348351,-122.7906647,0.7
44.763,-110.9635,0.34
33.6548333,-116.7448333,0.83
19.30450058,-155.264328,2.09
35.5216667,-118.3815,1.11
40.2105,-121.1568333,2.77
37.9432,71.6202,4.5
